Chain,Claimed Fees,Unclaimed Fees
arbitrum,188702.81349874297,480927.2048600122
aurora,0.0,124426.21520482634
avax,57791.59199055913,76667.0483944115
boba,20928.243429811697,131179.06174995404
bsc,656472.691030633,371092.8615897699
canto,0.0,0.0
cronos,0.0,0.0
dfk,0,0
dogechain,0.0,4697.749674306502
ethereum,1734304.796993397,74374.41474830157
fantom,50181.285755590674,195969.6878998906
metis,44960.56248783994,105151.09567472985
moonriver,0.0,113.83575964447228
moonbeam,0.0,112.09170397792698
optimism,4854.158758066068,143891.61196922243
polygon,174693.81829105876,35068.111413528924
